Name,Review Date,Rating,Comments
Aditya Kumar Choubey,2 months ago,"Rated 5.0 out of 5,",Google Means Perfection!You can feel the vibe when you step into this office. The perfection with which this place is designed is excellent. I went there for an interview and the person who was supposed to host me was so kind. They managed everything so perfectly and on time. I can't give much info about the office because it's to be kept private but one thing I can say is that the office is well designed with dynamic colors.  The employees visit the office in comfortable dresses. The environment of the office is really friendly. Their cafeteria serves amazing food & beverages. The security at this place is outstanding. If you don't have proper QR Coded badges then you can't enter this place so better not try to visit without proper invitation.
Nishant Sharma,3 months ago,"Rated 5.0 out of 5,","Great place to work, World’s leading Company. you’ll find very alluring ambience from first step in its infrastructure. Top notch security with world class services. Great amenities for employees. If you’re tech freak and want to touch higher in career then do prepare for Google."
Shams Aalam,2 months ago,"Rated 5.0 out of 5,",This is just WOW!!! Fully furnished and decorated and Accessible for disabled and senior citizens beautiful garden with greenery and great service available. Washroom facilities available for disabled and senior citizens. Lovely place with super creative mind.
Sahaj Harnal,4 months ago,"Rated 5.0 out of 5,",Beautiful office with cooperative staff. Has excellent visitor management facility. The office has almost everything an employee needs. No doubt why people love to work with google
Tushar Sahdev,a month ago,"Rated 1.0 out of 5,","Recently, I have attended your research survey at Orion Plaza Hotel Kalkaji which got cancelled due to your own staff mistake and I didn't get my incentive at all. It was done on 10th March 2020 at the aforesaid place via video call. This is very disappointed."
Anshika Garg,3 months ago,"Rated 3.0 out of 5,",Sir may i know that how to apply for job at here because i tried to apply as seo executive with the help of too many portals but i trapped in fraud agency. So please if anybody is here who guide me to take a right path to do   a job in google. Then i am very affectionate to those person who help me to take a right path
Nidhi Gupta,3 months ago,"Rated 5.0 out of 5,","Best company, best infrastructure, a cool place to work in, amazing food. The ambience of the company is super awesome. Loved it."
Neeru Mittal,4 months ago,"Rated 5.0 out of 5,",Awesome place. Impeccable interiors. The Signature tower is a signature no doubt. Courteous staff well lit conference rooms.
Rohit Chaudhary,2 months ago,"Rated 5.0 out of 5,","Ambience Mall, Gurgaon is a shopping mall in Gurgaon, Haryana, India. It contains an area of 1,997,378 square feet. Most floors have a shopping area of 860 meters. Ambience Mall has more than 230 stores and food outlets. Its parking space can accommodate about 4000 vehicles. The mall was opened for public in 2007. Ambience Mall, Gurgaon is a shopping mall in Gurgaon, Haryana, India. It contains an area of 1,997,378 square feet. Most floors have a shopping area of 860 meters. Ambience Mall has more than 230 stores and food outlets. Its parking space can accommodate about 4000 vehicles. The mall was opened for public in 2007."
Rohit Sahni,7 months ago,"Rated 5.0 out of 5,","Its really a dream place to work. Like enter in a gate then a security checks then a  green park is in front of u and and aside of  park u find a cafe, sitting arrangements are outside of cafe at park Green Park with red sofas looks just too good  then a beautiful building 🏢 where u work. Feel like dream"
